"%s days","%s días"
"Access denied!","Acceso denegado!"
"Account Information","Account Information"
"Action is blocked in quote confirmation mode","La acción está bloqueada ya que está en modo de Cotización. Debe salirse del modo de Cotización para eliminar el producto."
"Add to Cart","Comprar"
"Add to Quote","Cotizar"
"Address","Dirección"
"All items were moved to cart successfully.","Todos los productos fueron movidos exitosamente al Carro de compras."
"Allowed to Quote Mode","Allowed to Quote Mode"
"Atr. nr.","Sku"
"Back to My Quotes","Volver a Mis Cotizaciones"
"Be advised to enter your comments","Ingrese sus comentarios respecto del producto aquí"
"Billing address wasn't added","Billing address wasn't added"
"By deleting an item, you will create a new quote request. Do you want to do this?","By deleting an item, you will create a new Quote Request. Do you want to do this?"
"Can not add client note request to the product.","Cannot add client note request to the product."
"Can not add customer address.","Cannot add customer address."
"Can not add one of the items to quote request.","Cannot add one of the items to the Quote Request."
"Can't remove item","Can't remove item"
"Can't update quote list","Can't update Quote Request"
"Cancel","Anular"
"cart2quote cancel","cart2quote cancelled"
"cart2quote new account","cart2quote new account"
"cart2quote proposal","cart2quote proposal"
"cart2quote reject","cart2quote rejected"
"cart2quote request","cart2quote new request"
"Checking..","Checking.."
"City","Ciudad"
"Company","Empresa"
"Confirm and CheckOut","Confirmar y Pagar"
"Continue","Continuar"
"Continue Shopping","Continue Shopping"
"Country","País"
"Customer email already exists. You should login <a href=%s>here</a>","Customer email already exists. You should login <a href=%s>here</a>"
"Date","Fecha"
"Date of Proposal","Fecha Cotización"
"Default Address","Dirección Predeterminada"
"Do you have a general remark with your quote request?","Comentarios generales respecto de la Cotización"
"Edit Quote","Editar Cotización"
"Email Address","Email"
"Email already exists","Email address already exists"
"Enter your destination to get a shipping quotation","Ingrese la dirección de despacho"
"Enter your details to get a price proposal","Ingrese sus datos para recibir la cotización"
"Fax","Fax"
"First Name","Nombre"
"Fixed Shipping & Handling price","Fixed Shipping & Handling price"
"Information by Quote request avaliable by link below","Information by Quote Request avaliable by link below"
"Item %s wasn't  moved to Shopping cart","Item %s wasn't  moved to Shopping Cart"
"Item %s wasn't  removed from Quote mode","Item %s wasn't  removed from Quote Request mode"
"Item was deleted successfully.","El producto fue eliminado de su cotización"
"Item was moved to cart successfully.","Item was moved to Cart successfully."
"Item was moved to quote successfully.","Item was moved to Quote Request successfully."
"Item(s) were moved from Quote to Order mode successfully.","Item(s) were moved from Quote Request to the Cart successfully."
"Items Quoted","Artículos Solicitados"
"Last Name","Apellido"
"Log in and <a href='%s'>click on to View Quote.</a>","Login in and <a href='%s'>click on to View Quote.</a>"
"My Quote list","My Quote Request"
"My quote request","My Quote Request"
"My quote request (%s item)","My Quote Request (%s item)"
"My quote request (%s items)","My Quote Request (%s items)"
"My Quotes","Cotizaciones"
"New Address","New Address"
"No item in quote.","No item(s) in Quote Request List."
"No Items to display.","No tiene productos para cotizar."
"Original Price","Original Price"
"Owner price","Precio Propuesto"
"Please enter an valid email address","Please enter a valid email address"
"Please select region, state or province","Please select region, state or province"
"Please select required qty and check out online to see applicable price.","Por favor ingrese su dirección de entrega para que podamos cotizarle el despacho"
"Please specify product quantity.","Please specify product quantity."
"Price Proposal","Precio NETO"
"Print Quote","Imprimir"
"Product %s successfully added to Quote Request","El producto %s fue agregado a la Cotización"
"Product %s was deleted from your shopping cart","Product %s was deleted from your shopping cart"
"Product Name","Product Name"
"Proposal valid until","Fecha Expiración"
"Proposal Valid Until: %s","Cotización válida hasta: %s"
"Qquote cancel email was't sent to admin for quote #%s","Quote Cancel email wasn't sent to admin for Quote Request #%s"
"Qquote proposal email was't sent to the client for quote #%s","Quote Proposal email wasn't sent to the client for Quote Request #%s"
"Qquote request email was't sent to admin for quote #%s","Quote Request email wasn't sent to admin for Quote Request #%s"
"Qty","Qty"
"Quotation # %s","Quotation # %s"
"Quotation #%s - Proposal","Cotización # %s"
"Quotation #%s was rejected","Quotation #%s was rejected successfully."
"Quotation Date: %s","Cotización Solicitada el: %s"
"Quote","Solicitar Cotización"
"Quote #","Cotización #"
"Quote #%s","Quote Request #%s"
"Quote List","Quotation List"
"Quote list was updated successfully.","Quote List was updated successfully."
"Quote mode","Quote mode"
"Quote Proposal","Cotización Nº"
"Quote Request in Process, wait for price proposal Shopowner","Su solicitud de cotización aún está en proceso."
"Quote request information","Quote request information"
"Quote shipping proposal from owner","Shipping price Proposal"
"Quote Status","Estado de la Solicitud"
"Reject Proposal","Rechazar Cotización"
"Remark with Proposal","Comentarios a la Solicitud"
"Remove","Remove"
"Remove item","Eliminar"
"Request for Quote","Cotizar"
"Request information","Comentarios"
"Request quote","Solicitar Cotización"
"Requested information","Comentarios"
"Required Fields","Required Fields"
"Resubmit Quote","Cotizar nuevamente"
"ship to:","ship to:"
"Shipping & Handling price per product per Unit","Valor del Despacho por Producto"
"Shipping & Handling price varies.","El valor del despacho dependerá de la Comuna y peso del producto."
"Shipping Address","Shipping Address"
"Shipping details","Detalles del Despacho"
"Shipping Method","Shipping Method"
"State/Province","Comuna"
"Status","Status"
"STATUS_BEGIN","Starting"
"STATUS_CANCELED","Cotización Cancelada"
"STATUS_CONFIRMED","Cotización Aceptada"
"STATUS_ORDERED", "Ordered"
"STATUS_DENIED","Cotización Rechazada"
"STATUS_PROPOSAL","Cotización Enviada"
"STATUS_PROPOSAL_EXPIRED","Cotización Expirada"
"STATUS_PROPOSAL_SAVED","Cotización en proceso"
"STATUS_AUTO_PROPOSAL","Proposal sent"
"STATUS_REJECTED","Deleted"
"STATUS_REQUEST","Procesando"
"STATUS_REQUEST_EXPIRED","Request expired"
"Switch to Order mode","Switch to Order mode"
"Switch to Quote mode","Switch to Quote mode"
"TAX","TAX"
"Telephone","Telephone"
"Thank you for your interest!","Gracias por su interés !"
"Thanks for your Quote request.","Thanks for your Quote Request."
"The address was successfully saved","The address was successfully saved"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","There are <a href=%s><strong>%s items</strong></a> in your Quote list."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","There is <a href=%s><strong>1 item</strong></a> in your Quote list."
"The following item will not be added to the quotation list if you continue:","The following item(s) will not be added to the quotation list if you continue:"
"This order list contains items that cannot quoted.","This shopping Cart contains items that cannot be Quoted."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","To add an item to Quote Request <a href='%s'>log out</a> from Quote Confirmation mode."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","To add an item to the Quote Request <a href='%s'>switch the shopping Cart to Quote mode.</a>"
