"* Required Fields","* Campos Requeridos"
"A new password was sent","Una contraseña nueva ha sido enviada"
"Account Dashboard","Cuenta del Panel de Control"
"Account Information","Información de cuenta"
"Account Sharing Options","Opciones de Cuenta Compartida"
"Account information was successfully saved","La información de la cuenta se ha guardado"
"Action","Acción"
"Add New Address","Agregar Dirección Nueva"
"Add New Customer","Agregar Nuevo Cliente"
"Add New Customer Group","Agregar Nuevo Grupo de Clientes"
"Added From","Agregado desde"
"Additional Address Entries","Entradas de Direcciones Adicionales"
"Address","Dirección"
"Address Book","Libreta de Direcciones"
"Address Information","Dirección de Información"
"Addresses","Direcciones"
"Admin","Administrador"
"All","Todo"
"All Store Views","Todas las Vistas de Tienda"
"All countries","Todos los países"
"Always optional","Siempre opcional"
"Amount","Monto"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Estás seguro de que desea cancelar la adición de esta dirección?"
"Are you sure you want to delete this address?","¿Estás seguro de que deseas eliminar esta dirección?"
"Are you sure?","¿Estás seguro?"
"Array of Entity collections is expected","Grupo de colecciones de entidades es esperado"
"Assign a customer group","Asignar un grupo de clientes"
"Average Sale","Venta Promedio"
"Back","Volver"
"Back to Login","Volver al inicio de sesión"
"Bad request.","Mal solicitado."
"Bill to Name","Factura a nombre de"
"Billing Information","Información de facturación"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"CSV","CSV"
"Can't save address","No se puede guardar la dirección"
"Can't save customer","No se puede guardar al cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No se puede compartir cuentas globales de clientes. Ya que algunas cuentas de clientes con el mismo email existen en sitios web múltiples y no pueden ser fusionados."
"Cancel","Cancelar"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Editar la dirección."
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Enlace de Email Confirmado"
"Confirmed","Confirmado"
"Contact Information","Información de Contacto"
"Continue Shopping","Seguir comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Opciones para Crear una cuenta nueva"
"Create New Customer Account","Crear Cuenta Nueva de Cliente"
